Classe                              ;DesignRole                        ;Concorda?;
br.gov.se.sefaz.sae.cheqDev.to.baixa.ConfirmarBaixaCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarCheqParcelamento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.alteracao.AlterarChequeDevolvido;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.TransacaoOperacionalBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.cadastro.ConfirmarCadastroCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.cadastro.EmitirMensagemConclusaoCadastroCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarCheqPago;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.baixa.ConfirmarBaixaCheqPago;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.cadastro.CadastrarDocsChequeDevolvido;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.TransacaoCheqDevBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.alteracao.ConfirmarAlteracaoCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.alteracao.EmitirMensagemConclusaoAlteracaoCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.notificacao.EmitirNotificacaoCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarCheqImprocedentePrescricao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.cheqDev.to.cadastro.CadastrarChequeDevolvido;TRANSACAO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroZ;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.Registro1;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroG;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;GNRE;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroA;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.Registro51D;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.Registro9;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.Registro2;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;GERENCIADORBASE;SIM;
br.gov.se.sefaz.sae.concBanc.ng.registro.Registro51T;REGISTROMOVCONSOLIDADO;SIM;
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;GERENCIADORBASE;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqDASRepasseBB;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ListarRepasseDia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarDAEsNaoRepassados;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.RegistrarConfirmacaoRepasseFinanceiro;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ConfirmaDataFechamento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConfirmaObservacaoRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ListarRepasseMesAno;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarConfronto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.pendencia.ConsultarPendenciasRecepcaoEnvioArquivo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.pendencia.BaixarPendenciasCriterio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.ConfirmarAlteracaoValorParametro;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarDocParcialSemConsolidado;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepasseDASGNRE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarArrecadacaoMultaFiscal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosNaoEnviadosPeloSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.AlterarDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ConsultarDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.pendencia.ConsultarPendenciasArquivo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.pendencia.HistoricoPendenciasArquivo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.pendencia.ConsultarPendenciasArquivoCriterio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ListarDataFechamentoAberto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.GerarNumerosGNRE;[CONSTANTES];SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosEnviadosPeloSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasseBB;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.AlterarValorParametro;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConfirmarRepasseFinanceiro;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ExcluirDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepassePorBancoArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ExibirDetalheRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ListarHistoricoRepasse;TRANSACAO;SIM;
