Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;processarArquivo;33;7;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemPSDI;process;41;10;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.ConsultarItemDAE;setaDadosAlteracaoIcms;23;9;8;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarCheqImprocedentePrescricao;initialize;21;2;5;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.ExcluirReceita;montarComboReceitaPai;26;5;8;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaModoExibicaoArrec;41;17;3;3;Metodo Longo;(1) Discordo Fortemente;;
 A, R, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.DesmembrarDAS;process;99;43;16;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;obterDataVencimentoICMS;47;25;10;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;registrarRecolhimentoGNRE;68;12;24;6;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterDataProrrogacao;16;2;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;verificarIsencaoVigenteIPVA;12;5;7;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConfirmarRepasseFinanceiro;initialize;21;2;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;setItensDocumento;138;25;10;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.excluirViaEletronica.ConsultarViaEletronica;process;39;7;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;ObterContribRegularizarPagtoSimplesNacional;16;3;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.TransacaoCustodiais;montarComboCNAEF;5;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;validarDocumentoOrigem;60;18;8;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheDAEFundoPobrezaToSource;50;15;7;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dataArrecDAS.InformarDataArrecadacaoDAS;process;24;5;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarDadosConciliacaoBancaria;142;36;17;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarDadosDAEDuplicado;53;18;14;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;obterDataVencimentoFundoDaPobreza;27;8;7;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.cadastrarTalao.ConfirmarCadastroTalao;process;43;7;16;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.talonario.ConsultaAvancadaTalonario;montaQuery;20;4;4;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;gerarDAEMensal;75;14;14;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dadosConcBanc.ConfirmarRetiradaDadosConciliacaoBancaria;exibirReceita;22;5;9;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqErroRepasseDAE;validar;112;31;10;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;setCamposIPVA;5;6;2;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAEPSDI;93;27;14;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;ListaEntidadeContaRepassePorCriterio;9;2;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;preeencherDocContribNaoInscrito;37;29;2;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemMultaFiscal;process;57;33;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.chequeDevolvido.GerarItemReguralizacaoChequeDevolvido;process;88;14;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ti.SAEIntegracaoSAF;obterValorArrecadado;3;1;4;2;Muitos Parametros;(1) Discordo Fortemente;;
